127.0.0.1 - - [09/Jun/2019:16:23:50 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:23:53 +0800] "GET /Zhiyuan/home.jsp HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:24:28 +0800] "GET /Zhiyuan/like1/findAll HTTP/1.1" 200 88530
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:24:28 +0800] "GET /Zhiyuan/css/home.css HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:39:00 +0800] "GET /Zhiyuan/home.jsp HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:39:03 +0800] "GET /Zhiyuan/like1/findAll HTTP/1.1" 200 540515
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:39:03 +0800] "GET /Zhiyuan/css/home.css HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:41:42 +0800] "GET /Zhiyuan/home.jsp HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:41:43 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:41:45 +0800] "GET /Zhiyuan/like1/findAll HTTP/1.1" 200 540515
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:41:45 +0800] "GET /Zhiyuan/css/home.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:48:57 +0800] "GET /Zhiyuan/like1/findAll HTTP/1.1" 200 242595
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:48:57 +0800] "GET /Zhiyuan/css/home.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:53:10 +0800] "GET /Zhiyuan/like1/findAll HTTP/1.1" 200 242623
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:53:10 +0800] "GET /Zhiyuan/css/home.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:53:54 +0800] "GET /Zhiyuan/like1/findAll HTTP/1.1" 200 247106
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:53:54 +0800] "GET /Zhiyuan/css/home.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:53:58 +0800] "GET /Zhiyuan/like1/findAll HTTP/1.1" 200 247106
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:53:58 +0800] "GET /Zhiyuan/css/home.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:55:52 +0800] "GET /Zhiyuan/like1/findAll HTTP/1.1" 200 247117
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:55:52 +0800] "GET /Zhiyuan/css/home.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:56:17 +0800] "GET /Zhiyuan/like1/findAll HTTP/1.1" 200 247117
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:56:17 +0800] "GET /Zhiyuan/css/home.css HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:56:33 +0800] "GET /Zhiyuan/like1/findAll HTTP/1.1" 200 247117
0:0:0:0:0:0:0:1 - - [09/Jun/2019:16:56:33 +0800] "GET /Zhiyuan/css/home.css HTTP/1.1" 404 991
